;Controle, n=8;;0UI, n=4;;2UI, n=7;;4UI, n=8;;6UI, n=8;
Tempo;Média;DP;Média;DP;Média;DP;Média;DP;Média;DP
0;108;6,25;467;37;534,2857143;30,69387755;403,375;106,375;441;47
0.5;110,5;5,875;503,75;73,125;492,2857143;45,02040816;360,25;169,25;388,5;86,125
1;109,375;7,125;443,75;34,75;347,1428571;103,2653061;287;165,5;263,125;109,15625
1.5;115,875;9,90625;487;56;223;78,85714286;171;97,25;175;97,75
2;113,5;8,75;460,75;37,75;145;58,85714286;108,625;32,21875;125,375;80,96875
2.5;113,125;7,875;455,25;31,75;105,8571429;34,44897959;73,75;16,5625;107,25;49,375
3;110,875;7,15625;485,5;48,5;95;24,57142857;57,75;11,25;62,25;15
3.5;109,125;9,40625;450,75;48,25;82;26,85714286;65,25;6,3125;75,125;18,21875
4;109,375;7,125;447,25;53,25;120,5714286;82,36734694;48,125;3,4375;36,125;5,71875
5;113,125;5,84375;422,75;54,25;164;103,1428571;83,25;23,0625;73,125;6,90625
6;106,875;7,34375;412,25;28,75;186;137,1428571;109;35,75;83;5,5
7;112,875;4,875;454,75;91,75;226,8571429;126,4081633;136,125;65,4375;199,75;97
