;Controle, n=8;;0UI, n=4;;2UI, n=7;;3UI, n=8;;4UI, n=8;
Tempo;M‚dia;DP;M‚dia;DP;M‚dia;DP;M‚dia;DP;M‚dia;DP
0;96,875;11,625;465,25;51,25;543,2857143;37,10204082;419;57,5;473,875;39,59375
0.5;115,75;10,9375;465;32;320,8571429;85,02040816;233,875;64,40625;242,75;86,75
1;114;9,5;472,25;23,75;255,1428571;74,73469388;152,875;47,375;166,625;59,46875
1.5;112,75;10,6875;463,75;36,125;265,8571429;63,02040816;131,5;29,75;129,625;46,03125
2;123,5;13,5;478;39,5;335,5714286;91,2244898;150,625;45,875;175,5;69,375
2.5;126;10,75;489,5;27,75;418,5714286;63,06122449;196;71,5;290,375;77,03125
3;121,625;14,28125;511;23,5;537,1428571;64,08163265;288,75;82,5;374,875;94,875
3.5;120,375;7,46875;494,25;30,75;585,7142857;44,40816327;362,125;107,84375;428,375;84,625
4;133;5,5;473,5;41;608,2857143;35,75510204;466,375;107,875;452;69,5
