TEMPO,Variação 1,Variação 2,Variação 3,5%,-5%,20%,-20%,m5%,m-5%,m20%,m-20%
0.00,0.0000,0.0000,0.0000,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
0.25,0.0001,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
0.50,0.0003,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
0.75,0.0002,0.0000,0.0000,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
1.00,0.0002,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
1.25,0.0000,0.0017,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
1.50,0.0001,0.0017,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
1.75,0.0001,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
2.00,0.0000,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
2.25,0.0001,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
2.50,0.0001,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
2.75,-0.0001,0.0077,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
3.00,0.0000,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
3.25,0.0000,-0.0047,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
3.50,-0.0003,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
3.75,-0.0004,0.0016,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
4.00,0.0014,0.0015,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
4.25,0.0014,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
4.50,0.0014,0.0006,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
4.75,0.0013,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
5.00,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
5.25,0.0016,0.0015,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
5.50,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
5.75,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
6.00,0.0014,0.0014,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
6.25,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
6.50,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
6.75,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
7.00,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
7.25,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
7.50,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
7.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
8.00,0.0014,0.0017,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
8.25,0.0017,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
8.50,0.0016,0.0018,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
8.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
9.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
9.25,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
9.50,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
9.75,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
10.00,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
10.25,0.0017,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
10.50,0.0016,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
10.75,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
11.00,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
11.25,0.0012,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
11.50,0.0018,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
11.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
12.00,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
12.25,0.0016,0.0016,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
12.50,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
12.75,0.0013,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
13.00,0.0010,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
13.25,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
13.50,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
13.75,0.0014,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
14.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
14.25,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
14.50,0.0016,0.0016,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
14.75,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
15.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
15.25,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
15.50,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
15.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
16.00,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
16.25,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
16.50,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
16.75,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
17.00,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
17.25,0.0015,0.0014,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
17.50,0.0016,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
17.75,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
18.00,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
18.25,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
18.50,0.0015,0.0015,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
18.75,0.0016,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
19.00,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
19.25,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
19.50,0.0016,0.0015,0.0017,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
19.75,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
20.00,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
20.25,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
20.50,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
20.75,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
21.00,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
21.25,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
21.50,0.0016,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
21.75,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
22.00,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
22.25,0.0017,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
22.50,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
22.75,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
23.00,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
23.25,0.0015,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
23.50,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
23.75,0.0017,0.0016,0.0015,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
24.00,0.0013,0.0012,0.0013,0.002625,0.002375,0.003,0.002,0.001477216495,0.00133652921,0.001688247423,0.001125498282
